Geographic Area,County,State,Abbreviation,2019 Population _ Census
"DeKalb County, Tennessee",DeKalb, Tennessee, TennesseeDeKalb,20490
"Dickson County, Tennessee",Dickson, Tennessee, TennesseeDickson,53948
"Dyer County, Tennessee",Dyer, Tennessee, TennesseeDyer,37159
"Fayette County, Tennessee",Fayette, Tennessee, TennesseeFayette,41133
"Fentress County, Tennessee",Fentress, Tennessee, TennesseeFentress,18523
"Franklin County, Tennessee",Franklin, Tennessee, TennesseeFranklin,42208
"Gibson County, Tennessee",Gibson, Tennessee, TennesseeGibson,49133
"Giles County, Tennessee",Giles, Tennessee, TennesseeGiles,29464
"Grainger County, Tennessee",Grainger, Tennessee, TennesseeGrainger,23320
"Greene County, Tennessee",Greene, Tennessee, TennesseeGreene,69069
"Grundy County, Tennessee",Grundy, Tennessee, TennesseeGrundy,13427
"Hamblen County, Tennessee",Hamblen, Tennessee, TennesseeHamblen,64934
"Hamilton County, Tennessee",Hamilton, Tennessee, TennesseeHamilton,367804
"Hancock County, Tennessee",Hancock, Tennessee, TennesseeHancock,6620
"Hardeman County, Tennessee",Hardeman, Tennessee, TennesseeHardeman,25050
"Hardin County, Tennessee",Hardin, Tennessee, TennesseeHardin,25652
"Hawkins County, Tennessee",Hawkins, Tennessee, TennesseeHawkins,56786
"Haywood County, Tennessee",Haywood, Tennessee, TennesseeHaywood,17304
"Henderson County, Tennessee",Henderson, Tennessee, TennesseeHenderson,28117
"Henry County, Tennessee",Henry, Tennessee, TennesseeHenry,32345
"Hickman County, Tennessee",Hickman, Tennessee, TennesseeHickman,25178
"Houston County, Tennessee",Houston, Tennessee, TennesseeHouston,8201
"Humphreys County, Tennessee",Humphreys, Tennessee, TennesseeHumphreys,18582
"Jackson County, Tennessee",Jackson, Tennessee, TennesseeJackson,11786
"Jefferson County, Tennessee",Jefferson, Tennessee, TennesseeJefferson,54495
"Johnson County, Tennessee",Johnson, Tennessee, TennesseeJohnson,17788
"Knox County, Tennessee",Knox, Tennessee, TennesseeKnox,470313
"Lake County, Tennessee",Lake, Tennessee, TennesseeLake,7016
"Lauderdale County, Tennessee",Lauderdale, Tennessee, TennesseeLauderdale,25633
"Lawrence County, Tennessee",Lawrence, Tennessee, TennesseeLawrence,44142
"Lewis County, Tennessee",Lewis, Tennessee, TennesseeLewis,12268
"Lincoln County, Tennessee",Lincoln, Tennessee, TennesseeLincoln,34366
"Loudon County, Tennessee",Loudon, Tennessee, TennesseeLoudon,54068
"McMinn County, Tennessee",McMinn, Tennessee, TennesseeMcMinn,53794
"McNairy County, Tennessee",McNairy, Tennessee, TennesseeMcNairy,25694
"Macon County, Tennessee",Macon, Tennessee, TennesseeMacon,24602
"Madison County, Tennessee",Madison, Tennessee, TennesseeMadison,97984
"Marion County, Tennessee",Marion, Tennessee, TennesseeMarion,28907
"Marshall County, Tennessee",Marshall, Tennessee, TennesseeMarshall,34375
"Maury County, Tennessee",Maury, Tennessee, TennesseeMaury,96387
"Meigs County, Tennessee",Meigs, Tennessee, TennesseeMeigs,12422
"Monroe County, Tennessee",Monroe, Tennessee, TennesseeMonroe,46545
"Montgomery County, Tennessee",Montgomery, Tennessee, TennesseeMontgomery,208993
"Moore County, Tennessee",Moore, Tennessee, TennesseeMoore,6488
"Morgan County, Tennessee",Morgan, Tennessee, TennesseeMorgan,21403
"Obion County, Tennessee",Obion, Tennessee, TennesseeObion,30069
"Overton County, Tennessee",Overton, Tennessee, TennesseeOverton,22241
"Perry County, Tennessee",Perry, Tennessee, TennesseePerry,8076
"Pickett County, Tennessee",Pickett, Tennessee, TennesseePickett,5048
"Polk County, Tennessee",Polk, Tennessee, TennesseePolk,16832
"Putnam County, Tennessee",Putnam, Tennessee, TennesseePutnam,80245
"Rhea County, Tennessee",Rhea, Tennessee, TennesseeRhea,33167
"Roane County, Tennessee",Roane, Tennessee, TennesseeRoane,53382
"Robertson County, Tennessee",Robertson, Tennessee, TennesseeRobertson,71813
"Rutherford County, Tennessee",Rutherford, Tennessee, TennesseeRutherford,332285
"Scott County, Tennessee",Scott, Tennessee, TennesseeScott,22068
"Sequatchie County, Tennessee",Sequatchie, Tennessee, TennesseeSequatchie,15026
"Sevier County, Tennessee",Sevier, Tennessee, TennesseeSevier,98250
"Shelby County, Tennessee",Shelby, Tennessee, TennesseeShelby,937166
"Smith County, Tennessee",Smith, Tennessee, TennesseeSmith,20157
"Stewart County, Tennessee",Stewart, Tennessee, TennesseeStewart,13715
"Sullivan County, Tennessee",Sullivan, Tennessee, TennesseeSullivan,158348
"Sumner County, Tennessee",Sumner, Tennessee, TennesseeSumner,191283
"Tipton County, Tennessee",Tipton, Tennessee, TennesseeTipton,61599
"Trousdale County, Tennessee",Trousdale, Tennessee, TennesseeTrousdale,11284
"Unicoi County, Tennessee",Unicoi, Tennessee, TennesseeUnicoi,17883
"Union County, Tennessee",Union, Tennessee, TennesseeUnion,19972
"Van Buren County, Tennessee",Van, Tennessee, TennesseeVan,5872
"Warren County, Tennessee",Warren, Tennessee, TennesseeWarren,41277
"Washington County, Tennessee",Washington, Tennessee, TennesseeWashington,129375
"Wayne County, Tennessee",Wayne, Tennessee, TennesseeWayne,16673
"Weakley County, Tennessee",Weakley, Tennessee, TennesseeWeakley,33328
"White County, Tennessee",White, Tennessee, TennesseeWhite,27345
"Williamson County, Tennessee",Williamson, Tennessee, TennesseeWilliamson,238412
"Wilson County, Tennessee",Wilson, Tennessee, TennesseeWilson,144657
"Anderson County, Texas",Anderson, Texas, TexasAnderson,57735
"Andrews County, Texas",Andrews, Texas, TexasAndrews,18705
"Angelina County, Texas",Angelina, Texas, TexasAngelina,86715
"Aransas County, Texas",Aransas, Texas, TexasAransas,23510
"Archer County, Texas",Archer, Texas, TexasArcher,8553
"Armstrong County, Texas",Armstrong, Texas, TexasArmstrong,1887
"Atascosa County, Texas",Atascosa, Texas, TexasAtascosa,51153
"Austin County, Texas",Austin, Texas, TexasAustin,30032
"Bailey County, Texas",Bailey, Texas, TexasBailey,7000
"Bandera County, Texas",Bandera, Texas, TexasBandera,23112
"Bastrop County, Texas",Bastrop, Texas, TexasBastrop,88723
"Baylor County, Texas",Baylor, Texas, TexasBaylor,3509
"Bee County, Texas",Bee, Texas, TexasBee,32565
"Bell County, Texas",Bell, Texas, TexasBell,362924
"Bexar County, Texas",Bexar, Texas, TexasBexar,2003554
"Blanco County, Texas",Blanco, Texas, TexasBlanco,11931
"Borden County, Texas",Borden, Texas, TexasBorden,654
"Bosque County, Texas",Bosque, Texas, TexasBosque,18685
"Bowie County, Texas",Bowie, Texas, TexasBowie,93245
"Brazoria County, Texas",Brazoria, Texas, TexasBrazoria,374264
"Brazos County, Texas",Brazos, Texas, TexasBrazos,229211
"Brewster County, Texas",Brewster, Texas, TexasBrewster,9203
"Briscoe County, Texas",Briscoe, Texas, TexasBriscoe,1546
"Brooks County, Texas",Brooks, Texas, TexasBrooks,7093
"Brown County, Texas",Brown, Texas, TexasBrown,37864
"Burleson County, Texas",Burleson, Texas, TexasBurleson,18443
"Burnet County, Texas",Burnet, Texas, TexasBurnet,48155
"Caldwell County, Texas",Caldwell, Texas, TexasCaldwell,43664
"Calhoun County, Texas",Calhoun, Texas, TexasCalhoun,21290
"Callahan County, Texas",Callahan, Texas, TexasCallahan,13943
"Cameron County, Texas",Cameron, Texas, TexasCameron,423163
"Camp County, Texas",Camp, Texas, TexasCamp,13094
"Carson County, Texas",Carson, Texas, TexasCarson,5926
"Cass County, Texas",Cass, Texas, TexasCass,30026
"Castro County, Texas",Castro, Texas, TexasCastro,7530
"Chambers County, Texas",Chambers, Texas, TexasChambers,43837
"Cherokee County, Texas",Cherokee, Texas, TexasCherokee,52646
"Childress County, Texas",Childress, Texas, TexasChildress,7306
"Clay County, Texas",Clay, Texas, TexasClay,10471
"Cochran County, Texas",Cochran, Texas, TexasCochran,2853
"Coke County, Texas",Coke, Texas, TexasCoke,3387
"Coleman County, Texas",Coleman, Texas, TexasColeman,8175
"Collin County, Texas",Collin, Texas, TexasCollin,1034730
"Collingsworth County, Texas",Collingsworth, Texas, TexasCollingsworth,2920
"Colorado County, Texas",Colorado, Texas, TexasColorado,21493
"Comal County, Texas",Comal, Texas, TexasComal,156209
"Comanche County, Texas",Comanche, Texas, TexasComanche,13635
"Concho County, Texas",Concho, Texas, TexasConcho,2726
"Cooke County, Texas",Cooke, Texas, TexasCooke,41257
"Coryell County, Texas",Coryell, Texas, TexasCoryell,75951
"Cottle County, Texas",Cottle, Texas, TexasCottle,1398
"Crane County, Texas",Crane, Texas, TexasCrane,4797
"Crockett County, Texas",Crockett, Texas, TexasCrockett,3464
"Crosby County, Texas",Crosby, Texas, TexasCrosby,5737
"Culberson County, Texas",Culberson, Texas, TexasCulberson,2171
"Dallam County, Texas",Dallam, Texas, TexasDallam,7287
"Dallas County, Texas",Dallas, Texas, TexasDallas,2635516
"Dawson County, Texas",Dawson, Texas, TexasDawson,12728
"Deaf Smith County, Texas",Deaf, Texas, TexasDeaf,18546
"Delta County, Texas",Delta, Texas, TexasDelta,5331
"Denton County, Texas",Denton, Texas, TexasDenton,887207
"DeWitt County, Texas",DeWitt, Texas, TexasDeWitt,20160
"Dickens County, Texas",Dickens, Texas, TexasDickens,2211
"Dimmit County, Texas",Dimmit, Texas, TexasDimmit,10124
"Donley County, Texas",Donley, Texas, TexasDonley,3278
"Duval County, Texas",Duval, Texas, TexasDuval,11157
"Eastland County, Texas",Eastland, Texas, TexasEastland,18360
"Ector County, Texas",Ector, Texas, TexasEctor,166223
"Edwards County, Texas",Edwards, Texas, TexasEdwards,1932
"Ellis County, Texas",Ellis, Texas, TexasEllis,184826
"El Paso County, Texas",El, Texas, TexasEl,839238
"Erath County, Texas",Erath, Texas, TexasErath,42698
"Falls County, Texas",Falls, Texas, TexasFalls,17297
"Fannin County, Texas",Fannin, Texas, TexasFannin,35514
"Fayette County, Texas",Fayette, Texas, TexasFayette,25346
"Fisher County, Texas",Fisher, Texas, TexasFisher,3830
"Floyd County, Texas",Floyd, Texas, TexasFloyd,5712
"Foard County, Texas",Foard, Texas, TexasFoard,1155
"Fort Bend County, Texas",Fort, Texas, TexasFort,811688
"Franklin County, Texas",Franklin, Texas, TexasFranklin,10725
"Freestone County, Texas",Freestone, Texas, TexasFreestone,19717
"Frio County, Texas",Frio, Texas, TexasFrio,20306
"Gaines County, Texas",Gaines, Texas, TexasGaines,21492
"Galveston County, Texas",Galveston, Texas, TexasGalveston,342139
"Garza County, Texas",Garza, Texas, TexasGarza,6229
"Gillespie County, Texas",Gillespie, Texas, TexasGillespie,26988
"Glasscock County, Texas",Glasscock, Texas, TexasGlasscock,1409
"Goliad County, Texas",Goliad, Texas, TexasGoliad,7658
"Gonzales County, Texas",Gonzales, Texas, TexasGonzales,20837
"Gray County, Texas",Gray, Texas, TexasGray,21886
"Grayson County, Texas",Grayson, Texas, TexasGrayson,136212
"Gregg County, Texas",Gregg, Texas, TexasGregg,123945
"Grimes County, Texas",Grimes, Texas, TexasGrimes,28880
"Guadalupe County, Texas",Guadalupe, Texas, TexasGuadalupe,166847
"Hale County, Texas",Hale, Texas, TexasHale,33406
"Hall County, Texas",Hall, Texas, TexasHall,2964
"Hamilton County, Texas",Hamilton, Texas, TexasHamilton,8461
"Hansford County, Texas",Hansford, Texas, TexasHansford,5399
"Hardeman County, Texas",Hardeman, Texas, TexasHardeman,3933
"Hardin County, Texas",Hardin, Texas, TexasHardin,57602
"Harris County, Texas",Harris, Texas, TexasHarris,4713325
"Harrison County, Texas",Harrison, Texas, TexasHarrison,66553
"Hartley County, Texas",Hartley, Texas, TexasHartley,5576
"Haskell County, Texas",Haskell, Texas, TexasHaskell,5658
"Hays County, Texas",Hays, Texas, TexasHays,230191
"Hemphill County, Texas",Hemphill, Texas, TexasHemphill,3819
"Henderson County, Texas",Henderson, Texas, TexasHenderson,82737
"Hidalgo County, Texas",Hidalgo, Texas, TexasHidalgo,868707
"Hill County, Texas",Hill, Texas, TexasHill,36649
"Hockley County, Texas",Hockley, Texas, TexasHockley,23021
"Hood County, Texas",Hood, Texas, TexasHood,61643
"Hopkins County, Texas",Hopkins, Texas, TexasHopkins,37084
"Houston County, Texas",Houston, Texas, TexasHouston,22968
"Howard County, Texas",Howard, Texas, TexasHoward,36664
"Hudspeth County, Texas",Hudspeth, Texas, TexasHudspeth,4886
"Hunt County, Texas",Hunt, Texas, TexasHunt,98594
"Hutchinson County, Texas",Hutchinson, Texas, TexasHutchinson,20938
"Irion County, Texas",Irion, Texas, TexasIrion,1536
"Jack County, Texas",Jack, Texas, TexasJack,8935
"Jackson County, Texas",Jackson, Texas, TexasJackson,14760
"Jasper County, Texas",Jasper, Texas, TexasJasper,35529
"Jeff Davis County, Texas",Jeff, Texas, TexasJeff,2274
"Jefferson County, Texas",Jefferson, Texas, TexasJefferson,251565
"Jim Hogg County, Texas",Jim, Texas, TexasJim,5200
"Jim Wells County, Texas",Jim, Texas, TexasJim,40482
"Johnson County, Texas",Johnson, Texas, TexasJohnson,175817
"Jones County, Texas",Jones, Texas, TexasJones,20083
"Karnes County, Texas",Karnes, Texas, TexasKarnes,15601
"Kaufman County, Texas",Kaufman, Texas, TexasKaufman,136154
"Kendall County, Texas",Kendall, Texas, TexasKendall,47431
"Kenedy County, Texas",Kenedy, Texas, TexasKenedy,404
"Kent County, Texas",Kent, Texas, TexasKent,762
"Kerr County, Texas",Kerr, Texas, TexasKerr,52600
"Kimble County, Texas",Kimble, Texas, TexasKimble,4337
"King County, Texas",King, Texas, TexasKing,272
"Kinney County, Texas",Kinney, Texas, TexasKinney,3667
"Kleberg County, Texas",Kleberg, Texas, TexasKleberg,30680
"Knox County, Texas",Knox, Texas, TexasKnox,3664
"Lamar County, Texas",Lamar, Texas, TexasLamar,49859
"Lamb County, Texas",Lamb, Texas, TexasLamb,12893
"Lampasas County, Texas",Lampasas, Texas, TexasLampasas,21428
"La Salle County, Texas",La, Texas, TexasLa,7520
"Lavaca County, Texas",Lavaca, Texas, TexasLavaca,20154
"Lee County, Texas",Lee, Texas, TexasLee,17239
"Leon County, Texas",Leon, Texas, TexasLeon,17404
"Liberty County, Texas",Liberty, Texas, TexasLiberty,88219
"Limestone County, Texas",Limestone, Texas, TexasLimestone,23437
"Lipscomb County, Texas",Lipscomb, Texas, TexasLipscomb,3233
"Live Oak County, Texas",Live, Texas, TexasLive,12207
"Llano County, Texas",Llano, Texas, TexasLlano,21795
"Loving County, Texas",Loving, Texas, TexasLoving,169
"Lubbock County, Texas",Lubbock, Texas, TexasLubbock,310569
"Lynn County, Texas",Lynn, Texas, TexasLynn,5951
"McCulloch County, Texas",McCulloch, Texas, TexasMcCulloch,7984
"McLennan County, Texas",McLennan, Texas, TexasMcLennan,256623
"McMullen County, Texas",McMullen, Texas, TexasMcMullen,743
"Madison County, Texas",Madison, Texas, TexasMadison,14284
"Marion County, Texas",Marion, Texas, TexasMarion,9854
"Martin County, Texas",Martin, Texas, TexasMartin,5771
"Mason County, Texas",Mason, Texas, TexasMason,4274
"Matagorda County, Texas",Matagorda, Texas, TexasMatagorda,36643
"Maverick County, Texas",Maverick, Texas, TexasMaverick,58722
"Medina County, Texas",Medina, Texas, TexasMedina,51584
"Menard County, Texas",Menard, Texas, TexasMenard,2138
"Midland County, Texas",Midland, Texas, TexasMidland,176832
"Milam County, Texas",Milam, Texas, TexasMilam,24823
"Mills County, Texas",Mills, Texas, TexasMills,4873
"Mitchell County, Texas",Mitchell, Texas, TexasMitchell,8545
"Montague County, Texas",Montague, Texas, TexasMontague,19818
"Montgomery County, Texas",Montgomery, Texas, TexasMontgomery,607391
"Moore County, Texas",Moore, Texas, TexasMoore,20940
"Morris County, Texas",Morris, Texas, TexasMorris,12388
"Motley County, Texas",Motley, Texas, TexasMotley,1200
"Nacogdoches County, Texas",Nacogdoches, Texas, TexasNacogdoches,65204
"Navarro County, Texas",Navarro, Texas, TexasNavarro,50113
"Newton County, Texas",Newton, Texas, TexasNewton,13595
"Nolan County, Texas",Nolan, Texas, TexasNolan,14714
"Nueces County, Texas",Nueces, Texas, TexasNueces,362294
"Ochiltree County, Texas",Ochiltree, Texas, TexasOchiltree,9836
"Oldham County, Texas",Oldham, Texas, TexasOldham,2112
"Orange County, Texas",Orange, Texas, TexasOrange,83396
"Palo Pinto County, Texas",Palo, Texas, TexasPalo,29189
"Panola County, Texas",Panola, Texas, TexasPanola,23194
"Parker County, Texas",Parker, Texas, TexasParker,142878
"Parmer County, Texas",Parmer, Texas, TexasParmer,9605
"Pecos County, Texas",Pecos, Texas, TexasPecos,15823
"Polk County, Texas",Polk, Texas, TexasPolk,51353
"Potter County, Texas",Potter, Texas, TexasPotter,117415
"Presidio County, Texas",Presidio, Texas, TexasPresidio,6704
"Rains County, Texas",Rains, Texas, TexasRains,12514
"Randall County, Texas",Randall, Texas, TexasRandall,137713
"Reagan County, Texas",Reagan, Texas, TexasReagan,3849
"Real County, Texas",Real, Texas, TexasReal,3452
"Red River County, Texas",Red, Texas, TexasRed,12023
"Reeves County, Texas",Reeves, Texas, TexasReeves,15976
"Refugio County, Texas",Refugio, Texas, TexasRefugio,6948
"Roberts County, Texas",Roberts, Texas, TexasRoberts,854
"Robertson County, Texas",Robertson, Texas, TexasRobertson,17074
"Rockwall County, Texas",Rockwall, Texas, TexasRockwall,104915
"Runnels County, Texas",Runnels, Texas, TexasRunnels,10264
"Rusk County, Texas",Rusk, Texas, TexasRusk,54406
"Sabine County, Texas",Sabine, Texas, TexasSabine,10542
"San Augustine County, Texas",SanAugustine, Texas, TexasSanAugustine,8237
"San Jacinto County, Texas",SanJacinto, Texas, TexasSanJacinto,28859
"San Patricio County, Texas",SanPatricio, Texas, TexasSanPatricio,66730
"San Saba County, Texas",SanSaba, Texas, TexasSanSaba,6055
"Schleicher County, Texas",Schleicher, Texas, TexasSchleicher,2793
"Scurry County, Texas",Scurry, Texas, TexasScurry,16703
"Shackelford County, Texas",Shackelford, Texas, TexasShackelford,3265
"Shelby County, Texas",Shelby, Texas, TexasShelby,25274
"Sherman County, Texas",Sherman, Texas, TexasSherman,3022
"Smith County, Texas",Smith, Texas, TexasSmith,232751
"Somervell County, Texas",Somervell, Texas, TexasSomervell,9128
"Starr County, Texas",Starr, Texas, TexasStarr,64633
"Stephens County, Texas",Stephens, Texas, TexasStephens,9366
"Sterling County, Texas",Sterling, Texas, TexasSterling,1291
"Stonewall County, Texas",Stonewall, Texas, TexasStonewall,1350
"Sutton County, Texas",Sutton, Texas, TexasSutton,3776
"Swisher County, Texas",Swisher, Texas, TexasSwisher,7397
"Tarrant County, Texas",Tarrant, Texas, TexasTarrant,2102515
"Taylor County, Texas",Taylor, Texas, TexasTaylor,138034
"Terrell County, Texas",Terrell, Texas, TexasTerrell,776
"Terry County, Texas",Terry, Texas, TexasTerry,12337
"Throckmorton County, Texas",Throckmorton, Texas, TexasThrockmorton,1501
"Titus County, Texas",Titus, Texas, TexasTitus,32750
"Tom Green County, Texas",Tom, Texas, TexasTom,119200
"Travis County, Texas",Travis, Texas, TexasTravis,1273954
"Trinity County, Texas",Trinity, Texas, TexasTrinity,14651
"Tyler County, Texas",Tyler, Texas, TexasTyler,21672
"Upshur County, Texas",Upshur, Texas, TexasUpshur,41753
"Upton County, Texas",Upton, Texas, TexasUpton,3657
"Uvalde County, Texas",Uvalde, Texas, TexasUvalde,26741
"Val Verde County, Texas",Val, Texas, TexasVal,49025
"Van Zandt County, Texas",Van, Texas, TexasVan,56590
"Victoria County, Texas",Victoria, Texas, TexasVictoria,92084
"Walker County, Texas",Walker, Texas, TexasWalker,72971
"Waller County, Texas",Waller, Texas, TexasWaller,55246
"Ward County, Texas",Ward, Texas, TexasWard,11998
"Washington County, Texas",Washington, Texas, TexasWashington,35882
"Webb County, Texas",Webb, Texas, TexasWebb,276652
"Wharton County, Texas",Wharton, Texas, TexasWharton,41556
"Wheeler County, Texas",Wheeler, Texas, TexasWheeler,5056
"Wichita County, Texas",Wichita, Texas, TexasWichita,132230
"Wilbarger County, Texas",Wilbarger, Texas, TexasWilbarger,12769
"Willacy County, Texas",Willacy, Texas, TexasWillacy,21358
"Williamson County, Texas",Williamson, Texas, TexasWilliamson,590551
"Wilson County, Texas",Wilson, Texas, TexasWilson,51070
"Winkler County, Texas",Winkler, Texas, TexasWinkler,8010
"Wise County, Texas",Wise, Texas, TexasWise,69984
"Wood County, Texas",Wood, Texas, TexasWood,45539
"Yoakum County, Texas",Yoakum, Texas, TexasYoakum,8713
"Young County, Texas",Young, Texas, TexasYoung,18010
"Zapata County, Texas",Zapata, Texas, TexasZapata,14179
"Zavala County, Texas",Zavala, Texas, TexasZavala,11840
"Beaver County, Utah",Beaver, Utah, UtahBeaver,6710
"Box Elder County, Utah",Box, Utah, UtahBox,56046
"Cache County, Utah",Cache, Utah, UtahCache,128289
"Carbon County, Utah",Carbon, Utah, UtahCarbon,20463
"Daggett County, Utah",Daggett, Utah, UtahDaggett,950
"Davis County, Utah",Davis, Utah, UtahDavis,355481
"Duchesne County, Utah",Duchesne, Utah, UtahDuchesne,19938
"Emery County, Utah",Emery, Utah, UtahEmery,10012
"Garfield County, Utah",Garfield, Utah, UtahGarfield,5051
"Grand County, Utah",Grand, Utah, UtahGrand,9754
"Iron County, Utah",Iron, Utah, UtahIron,54839
"Juab County, Utah",Juab, Utah, UtahJuab,12017
"Kane County, Utah",Kane, Utah, UtahKane,7886
"Millard County, Utah",Millard, Utah, UtahMillard,13188
"Morgan County, Utah",Morgan, Utah, UtahMorgan,12124
"Piute County, Utah",Piute, Utah, UtahPiute,1479
"Rich County, Utah",Rich, Utah, UtahRich,2483
"Salt Lake County, Utah",Salt, Utah, UtahSalt,1160437
"San Juan County, Utah",SanJuan, Utah, UtahSanJuan,15308
"Sanpete County, Utah",Sanpete, Utah, UtahSanpete,30939
"Sevier County, Utah",Sevier, Utah, UtahSevier,21620
"Summit County, Utah",Summit, Utah, UtahSummit,42145
"Tooele County, Utah",Tooele, Utah, UtahTooele,72259
"Uintah County, Utah",Uintah, Utah, UtahUintah,35734
"Utah County, Utah",Utah, Utah, UtahUtah,636235
"Wasatch County, Utah",Wasatch, Utah, UtahWasatch,34091
"Washington County, Utah",Washington, Utah, UtahWashington,177556
"Wayne County, Utah",Wayne, Utah, UtahWayne,2711
"Weber County, Utah",Weber, Utah, UtahWeber,260213
"Addison County, Vermont",Addison, Vermont, VermontAddison,36777
"Bennington County, Vermont",Bennington, Vermont, VermontBennington,35470
"Caledonia County, Vermont",Caledonia, Vermont, VermontCaledonia,29993
"Chittenden County, Vermont",Chittenden, Vermont, VermontChittenden,163774
"Essex County, Vermont",Essex, Vermont, VermontEssex,6163
"Franklin County, Vermont",Franklin, Vermont, VermontFranklin,49402
"Grand Isle County, Vermont",Grand, Vermont, VermontGrand,7235
"Lamoille County, Vermont",Lamoille, Vermont, VermontLamoille,25362
"Orange County, Vermont",Orange, Vermont, VermontOrange,28892
"Orleans County, Vermont",Orleans, Vermont, VermontOrleans,27037
"Rutland County, Vermont",Rutland, Vermont, VermontRutland,58191
"Washington County, Vermont",Washington, Vermont, VermontWashington,58409
"Windham County, Vermont",Windham, Vermont, VermontWindham,42222
"Windsor County, Vermont",Windsor, Vermont, VermontWindsor,55062
"Accomack County, Virginia",Accomack, Virginia, VirginiaAccomack,32316
"Albemarle County, Virginia",Albemarle, Virginia, VirginiaAlbemarle,109330
"Alleghany County, Virginia",Alleghany, Virginia, VirginiaAlleghany,14860
"Amelia County, Virginia",Amelia, Virginia, VirginiaAmelia,13145
"Amherst County, Virginia",Amherst, Virginia, VirginiaAmherst,31605
"Appomattox County, Virginia",Appomattox, Virginia, VirginiaAppomattox,15911
"Arlington County, Virginia",Arlington, Virginia, VirginiaArlington,236842
"Augusta County, Virginia",Augusta, Virginia, VirginiaAugusta,75558
"Bath County, Virginia",Bath, Virginia, VirginiaBath,4147
"Bedford County, Virginia",Bedford, Virginia, VirginiaBedford,78997
"Bland County, Virginia",Bland, Virginia, VirginiaBland,6280
"Botetourt County, Virginia",Botetourt, Virginia, VirginiaBotetourt,33419
"Brunswick County, Virginia",Brunswick, Virginia, VirginiaBrunswick,16231
"Buchanan County, Virginia",Buchanan, Virginia, VirginiaBuchanan,21004
"Buckingham County, Virginia",Buckingham, Virginia, VirginiaBuckingham,17148
"Campbell County, Virginia",Campbell, Virginia, VirginiaCampbell,54885
"Caroline County, Virginia",Caroline, Virginia, VirginiaCaroline,30725
"Carroll County, Virginia",Carroll, Virginia, VirginiaCarroll,29791
"Charles City County, Virginia",Charles, Virginia, VirginiaCharles,6963
"Charlotte County, Virginia",Charlotte, Virginia, VirginiaCharlotte,11880
"Chesterfield County, Virginia",Chesterfield, Virginia, VirginiaChesterfield,352802
"Clarke County, Virginia",Clarke, Virginia, VirginiaClarke,14619
"Craig County, Virginia",Craig, Virginia, VirginiaCraig,5131
"Culpeper County, Virginia",Culpeper, Virginia, VirginiaCulpeper,52605
"Cumberland County, Virginia",Cumberland, Virginia, VirginiaCumberland,9932
"Dickenson County, Virginia",Dickenson, Virginia, VirginiaDickenson,14318
"Dinwiddie County, Virginia",Dinwiddie, Virginia, VirginiaDinwiddie,28544
"Essex County, Virginia",Essex, Virginia, VirginiaEssex,10953
"Fairfax County, Virginia",Fairfax, Virginia, VirginiaFairfax,1147532
"Fauquier County, Virginia",Fauquier, Virginia, VirginiaFauquier,71222
"Floyd County, Virginia",Floyd, Virginia, VirginiaFloyd,15749
"Fluvanna County, Virginia",Fluvanna, Virginia, VirginiaFluvanna,27270
"Franklin County, Virginia",Franklin, Virginia, VirginiaFranklin,56042
"Frederick County, Virginia",Frederick, Virginia, VirginiaFrederick,89313
"Giles County, Virginia",Giles, Virginia, VirginiaGiles,16720
"Gloucester County, Virginia",Gloucester, Virginia, VirginiaGloucester,37348
"Goochland County, Virginia",Goochland, Virginia, VirginiaGoochland,23753
"Grayson County, Virginia",Grayson, Virginia, VirginiaGrayson,15550
"Greene County, Virginia",Greene, Virginia, VirginiaGreene,19819
"Greensville County, Virginia",Greensville, Virginia, VirginiaGreensville,11336
"Halifax County, Virginia",Halifax, Virginia, VirginiaHalifax,33911
"Hanover County, Virginia",Hanover, Virginia, VirginiaHanover,107766
"Henrico County, Virginia",Henrico, Virginia, VirginiaHenrico,330818
"Henry County, Virginia",Henry, Virginia, VirginiaHenry,50557
"Highland County, Virginia",Highland, Virginia, VirginiaHighland,2190
"Isle of Wight County, Virginia",Isle, Virginia, VirginiaIsle,37109
"James City County, Virginia",James, Virginia, VirginiaJames,76523
"King and Queen County, Virginia",King, Virginia, VirginiaKing,7025
"King George County, Virginia",King, Virginia, VirginiaKing,26836
"King William County, Virginia",King, Virginia, VirginiaKing,17148
"Lancaster County, Virginia",Lancaster, Virginia, VirginiaLancaster,10603
"Lee County, Virginia",Lee, Virginia, VirginiaLee,23423
"Loudoun County, Virginia",Loudoun, Virginia, VirginiaLoudoun,413538
"Louisa County, Virginia",Louisa, Virginia, VirginiaLouisa,37591
"Lunenburg County, Virginia",Lunenburg, Virginia, VirginiaLunenburg,12196
"Madison County, Virginia",Madison, Virginia, VirginiaMadison,13261
"Mathews County, Virginia",Mathews, Virginia, VirginiaMathews,8834
"Mecklenburg County, Virginia",Mecklenburg, Virginia, VirginiaMecklenburg,30587
"Middlesex County, Virginia",Middlesex, Virginia, VirginiaMiddlesex,10582
"Montgomery County, Virginia",Montgomery, Virginia, VirginiaMontgomery,98535
"Nelson County, Virginia",Nelson, Virginia, VirginiaNelson,14930
"New Kent County, Virginia",New, Virginia, VirginiaNew,23091
"Northampton County, Virginia",Northampton, Virginia, VirginiaNorthampton,11710
"Northumberland County, Virginia",Northumberland, Virginia, VirginiaNorthumberland,12095
